**************************************************************************************************************


SPECIES :  I^- / I_2
PROCESS:  I^- + I_2 -> I^- + I_2, isotropic
PARAM.:   delta E = 0.00
COMMENT:  constant value, same order of magnitude in Cl2 and O2
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 4.981898e+00    1.000000e-20
 5.169242e+00    1.000000e-20
 5.363631e+00    1.000000e-20
 5.565331e+00    1.000000e-20
 5.774615e+00    1.000000e-20
 5.991770e+00    1.000000e-20
 6.217090e+00    1.000000e-20
 6.450884e+00    1.000000e-20
 6.693470e+00    1.000000e-20
 6.945178e+00    1.000000e-20
 7.206351e+00    1.000000e-20
 7.477346e+00    1.000000e-20
 7.758532e+00    1.000000e-20
 8.050292e+00    1.000000e-20
 8.353023e+00    1.000000e-20
 8.667139e+00    1.000000e-20
 8.993067e+00    1.000000e-20
 9.331251e+00    1.000000e-20
 9.682153e+00    1.000000e-20
 1.004625e+01    1.000000e-20
 1.042404e+01    1.000000e-20
 1.081604e+01    1.000000e-20
 1.122277e+01    1.000000e-20
 1.164481e+01    1.000000e-20
 1.208271e+01    1.000000e-20
 1.253708e+01    1.000000e-20
 1.300854e+01    1.000000e-20
 1.349772e+01    1.000000e-20
 1.400531e+01    1.000000e-20
 1.453198e+01    1.000000e-20
 1.507845e+01    1.000000e-20
 1.564548e+01    1.000000e-20
 1.623382e+01    1.000000e-20
 1.684430e+01    1.000000e-20
 1.747773e+01    1.000000e-20
 1.813498e+01    1.000000e-20
 1.881694e+01    1.000000e-20
 1.952456e+01    1.000000e-20
 2.025878e+01    1.000000e-20
 2.102061e+01    1.000000e-20
 2.181109e+01    1.000000e-20
 2.263130e+01    1.000000e-20
 2.348235e+01    1.000000e-20
 2.436540e+01    1.000000e-20
 2.528166e+01    1.000000e-20
 2.623238e+01    1.000000e-20
 2.721885e+01    1.000000e-20
 2.824241e+01    1.000000e-20
 2.930447e+01    1.000000e-20
 3.040646e+01    1.000000e-20
 3.154990e+01    1.000000e-20
 3.273634e+01    1.000000e-20
 3.396739e+01    1.000000e-20
 3.524473e+01    1.000000e-20
 3.657011e+01    1.000000e-20
 3.794533e+01    1.000000e-20
 3.937226e+01    1.000000e-20
 4.085286e+01    1.000000e-20
 4.238913e+01    1.000000e-20
 4.398317e+01    1.000000e-20
 4.563716e+01    1.000000e-20
 4.735335e+01    1.000000e-20
 4.913407e+01    1.000000e-20
 5.098176e+01    1.000000e-20
 5.289893e+01    1.000000e-20
 5.488820e+01    1.000000e-20
 5.695227e+01    1.000000e-20
 5.909396e+01    1.000000e-20
 6.131619e+01    1.000000e-20
 6.362198e+01    1.000000e-20
 6.601449e+01    1.000000e-20
 6.849697e+01    1.000000e-20
 7.107280e+01    1.000000e-20
 7.374549e+01    1.000000e-20
 7.651869e+01    1.000000e-20
 7.939618e+01    1.000000e-20
 8.238187e+01    1.000000e-20
 8.547985e+01    1.000000e-20
 8.869432e+01    1.000000e-20
 9.202967e+01    1.000000e-20
 9.549045e+01    1.000000e-20
 9.908137e+01    1.000000e-20
 1.028073e+02    1.000000e-20
 1.066734e+02    1.000000e-20
 1.106848e+02    1.000000e-20
 1.148472e+02    1.000000e-20
 1.191660e+02    1.000000e-20
 1.236472e+02    1.000000e-20
 1.282970e+02    1.000000e-20
 1.331216e+02    1.000000e-20
 1.381276e+02    1.000000e-20
 1.433219e+02    1.000000e-20
 1.487115e+02    1.000000e-20
 1.543038e+02    1.000000e-20
 1.601064e+02    1.000000e-20
 1.661273e+02    1.000000e-20
 1.723745e+02    1.000000e-20
 1.788566e+02    1.000000e-20
 1.855825e+02    1.000000e-20
 1.925614e+02    1.000000e-20
 1.998026e+02    1.000000e-20
 2.073162e+02    1.000000e-20
 2.151123e+02    1.000000e-20
 2.232016e+02    1.000000e-20
 2.315951e+02    1.000000e-20
 2.403043e+02    1.000000e-20
 2.493409e+02    1.000000e-20
 2.587174e+02    1.000000e-20
 2.684465e+02    1.000000e-20
 2.785414e+02    1.000000e-20
 2.890160e+02    1.000000e-20
 2.998844e+02    1.000000e-20
 3.111616e+02    1.000000e-20
 3.228628e+02    1.000000e-20
 3.350041e+02    1.000000e-20
 3.476019e+02    1.000000e-20
 3.606735e+02    1.000000e-20
 3.742366e+02    1.000000e-20
 3.883098e+02    1.000000e-20
 4.029122e+02    1.000000e-20
 4.180637e+02    1.000000e-20
 4.337850e+02    1.000000e-20
 4.500975e+02    1.000000e-20
 4.670234e+02    1.000000e-20
 4.845859e+02    1.000000e-20
 5.028087e+02    1.000000e-20
 5.217169e+02    1.000000e-20
 5.413360e+02    1.000000e-20
