**************************************************************************************************************


SPECIES :  I^+ / I2
PROCESS:  I^+ + I2 -> I + I2^+, CHARGE_EXCHANGE
PARAM.:   delta E = -1.14
COMMENT:  fit from data of figure 5 in Hause et al (2015) in the center of mass, exothermic reaction 1.14 eV
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 5.379362e-02    2.346439e-18
 5.466857e-02    2.327586e-18
 5.555776e-02    2.308885e-18
 5.646141e-02    2.290334e-18
 5.737976e-02    2.271932e-18
 5.831305e-02    2.253677e-18
 5.926152e-02    2.235570e-18
 6.022541e-02    2.217608e-18
 6.120498e-02    2.199790e-18
 6.220049e-02    2.182115e-18
 6.321218e-02    2.164583e-18
 6.424034e-02    2.147191e-18
 6.528521e-02    2.129939e-18
 6.634708e-02    2.112826e-18
 6.742622e-02    2.095850e-18
 6.852292e-02    2.079011e-18
 6.963745e-02    2.062306e-18
 7.077011e-02    2.045737e-18
 7.192119e-02    2.029300e-18
 7.309099e-02    2.012995e-18
 7.427982e-02    1.996821e-18
 7.548799e-02    1.980777e-18
 7.671581e-02    1.964863e-18
 7.796360e-02    1.949076e-18
 7.923169e-02    1.933415e-18
 8.052040e-02    1.917881e-18
 8.183007e-02    1.902472e-18
 8.316104e-02    1.887186e-18
 8.451366e-02    1.872023e-18
 8.588829e-02    1.856982e-18
 8.728527e-02    1.842062e-18
 8.870497e-02    1.827261e-18
 9.014776e-02    1.812580e-18
 9.161402e-02    1.798016e-18
 9.310413e-02    1.783570e-18
 9.461848e-02    1.769240e-18
 9.615746e-02    1.755024e-18
 9.772147e-02    1.740923e-18
 9.931092e-02    1.726936e-18
 1.009262e-01    1.713060e-18
 1.025678e-01    1.699296e-18
 1.042361e-01    1.685643e-18
 1.059315e-01    1.672100e-18
 1.076545e-01    1.658665e-18
 1.094055e-01    1.645338e-18
 1.111850e-01    1.632118e-18
 1.129934e-01    1.619005e-18
 1.148312e-01    1.605997e-18
 1.166990e-01    1.593093e-18
 1.185971e-01    1.580293e-18
 1.205261e-01    1.567596e-18
 1.224865e-01    1.555001e-18
